Time	Fres	Temp
592	1803.24	25.31
594	1803.63	25.31
596	1801.61	25.35
598	1799.1	25.32
600	1802.52	25.35
602	1803.07	25.35
604	1806.58	25.33
606	1803.18	25.26
608	1802.83	25.32
610	1802.85	25.31
612	1803.52	25.27
614	1803.18	25.3
616	1799.43	25.33
618	1804.25	25.29
620	1800.8	25.2
622	1803.79	25.34
624	1803.27	25.26
626	1802.29	25.37
628	1799.05	25.22
630	1796.71	25.26
632	1799.23	25.24
634	1797.77	25.23
637	1799.65	25.2
639	1796.69	25.19
641	1794.4	25.1
643	1794.97	25.17
645	1797.8	25.14
647	1794.23	25.09
649	1794.15	24.99
651	1792.03	24.99
653	1793.93	25.13
655	1793.55	24.94
657	1792.15	24.96
659	1791.65	24.95
661	1793.63	24.91
663	1792.19	24.79
665	1791.58	24.75
667	1789.71	24.78
669	1792.41	24.84
671	1791.94	24.73
673	1791.55	24.64
675	1791.2	24.55
677	1790.16	24.56
679	1789.06	24.56
681	1789.79	24.44
683	1788.85	24.45
685	1791.38	24.32
687	1786.31	24.24
689	1788.51	24.22
692	1791.11	24.29
694	1786.57	24.13
696	1786.56	24.13
698	1792.93	24.09
700	1786.66	24.08
702	1785.82	24
704	1790.02	23.97
706	1788.58	23.92
708	1789.03	23.86
710	1788.6	23.78
712	1788.16	23.7
714	1788.77	23.66
716	1787.7	23.63
718	1786.75	23.67
720	1789.34	23.61
722	1785.9	23.54
724	1791.49	23.5
726	1784.96	23.33
728	1787.5	23.3
730	1788.85	23.31
732	1788.18	23.23
734	1786.11	23.13
736	1788.33	23.14
738	1787.19	23.14
740	1789.02	23.09
742	1786.45	23.08
745	1785.12	22.99
747	1784.93	22.91
749	1786.78	22.94
751	1784.64	22.87
753	1785.3	22.71
755	1787.85	22.81
757	1785.95	22.79
759	1785.46	22.72
761	1783.13	22.63
763	1787.75	22.71
765	1786.3	22.62
767	1785.27	22.63
769	1785.48	22.45
771	1786.84	22.46
773	1786.47	22.49
775	1784.78	22.36
777	1786.41	22.41
779	1784.46	22.31
781	1786.6	22.28
783	1784.97	22.34
785	1781.82	22.22
787	1785.54	22.22
789	1784.9	22.17
791	1783.44	22.14
793	1786.61	22.09
795	1787.81	22
798	1786.49	21.98
800	1783.76	22.02
802	1784.22	22
804	1782.07	21.93
806	1787.52	21.95
808	1787.35	21.83
810	1783.02	21.87
812	1784.42	21.75
814	1780.87	21.79
816	1781.92	21.68
818	1786.99	21.74
820	1784.78	21.66
822	1786.09	21.66
824	1785.14	21.66
826	1783.22	21.63
828	1782.98	21.58
830	1783.85	21.64
832	1783.27	21.57
834	1784.09	21.57
836	1781.99	21.58
838	1782.62	21.51
840	1784.33	21.43
842	1781.47	21.41
845	1784.1	21.42
847	1783.61	21.43
849	1779.06	21.32
851	1782.55	21.36
853	1783.17	21.36
855	1786.55	21.3
857	1783.49	21.41
859	1786.92	21.27
861	1788.39	21.26
863	1783.05	21.18
865	1784.57	21.2
867	1783.58	21.2
869	1785.36	21.09
871	1783.55	21.15
873	1781.67	21.22
875	1782.21	21.12
877	1779.94	21.08
879	1781.52	21.13
881	1782.24	21.03
883	1784.83	21
885	1783.45	21.02
887	1781.26	20.94
889	1782.18	21.04
891	1783.74	21.04
893	1781.44	20.94
896	1782.41	20.95
898	1783.76	21.03
900	1782.56	20.97
902	1782.54	20.88
904	1782.46	20.92
906	1778.84	20.83
908	1783.95	20.84
910	1778.22	20.86
912	1782.94	20.86
914	1780.95	20.8
916	1782.17	20.78
918	1781.05	20.85
920	1783.09	20.71
922	1784.51	20.72
924	1784.19	20.72
926	1783.54	20.7
928	1786.17	20.72
930	1790.36	20.75
932	1781.46	20.68
934	1781.51	20.7
936	1781.34	20.6
938	1780.77	20.6
940	1785.25	20.62
943	1781.58	20.62
945	1782.1	20.58
947	1783.51	20.62
949	1784.22	20.54
951	1783.59	20.59
953	1786.83	20.6
955	1780.49	20.53
957	1784.58	20.49
959	1782.65	20.55
961	1782.67	20.49
963	1781.5	20.51
965	1779.67	20.53
967	1781.59	20.52
969	1784.23	20.48
971	1783.86	20.55
973	1784.11	20.55
975	1782.23	20.46
977	1784.38	20.43
979	1781.52	20.45
981	1778.14	20.35
983	1784.86	20.41
985	1782.03	20.41
987	1784.67	20.37
989	1781.04	20.4
992	1779.55	20.31
994	1781.83	20.32
996	1783.55	20.45
998	1781.38	20.45
1000	1781.68	20.29
1002	1785.22	20.35
1004	1781.34	20.31
1006	1783.68	20.34
1008	1781.26	20.3
1010	1782.08	20.25
1012	1780.68	20.28
1014	1784.22	20.27
1016	1782.96	20.17
1018	1783.99	20.25
1020	1781.54	20.19
1022	1783.33	20.16
1024	1780.25	20.2
1026	1780.22	20.15
1028	1783.14	20.23
1030	1784.06	20.17
1032	1781.52	20.13
1034	1782.42	20.18
1036	1785.8	20.08
1039	1781.87	20.13
1041	1783.6	20.19
1043	1781.31	20.08
1045	1781.5	20.14
1047	1779.25	20.1
1049	1783.27	20.12
1051	1780.73	20.1
1053	1782.12	20.09
1055	1780.49	20.12
1057	1781.02	20.08
1059	1779.65	20.08
1061	1782.51	20.06
1063	1780.92	20.08
1065	1783.21	20.06
1067	1781.68	20.03
1069	1779.67	20.12
1071	1783.53	20.13
1073	1785.5	20.08
1075	1781.93	20.01
1077	1781.83	20.13
1079	1774.84	20.1
1081	1779.37	20.07
1083	1780.07	20.02
1085	1781.37	20.07
1087	1782.7	19.99
1089	1784.81	19.99
1091	1785.83	20
1094	1783.74	19.93
1096	1781.27	19.97
1098	1784.68	19.97
1100	1782.75	20
1102	1777.89	20.01
1104	1782.44	20.04
1106	1778.67	19.95
1108	1781.52	19.94
1110	1775.55	19.97
1112	1781.96	19.94
1114	1778.18	19.98
1116	1781.53	19.93
1118	1780.52	19.89
1120	1788.44	19.87
1122	1781.24	20.01
1124	1782.14	19.91
1126	1782.12	19.97
1128	1783.54	19.86
1130	1778.33	19.92
1132	1783.14	19.83
1134	1781.76	19.88
1136	1763.75	19.9
1138	1778.4	19.9
1140	1781.02	19.89
1143	1788.22	19.95
1145	1782.12	19.87
1147	1784.25	19.96
1149	1783.56	19.85
1151	1774.36	19.92
1153	1781.91	19.94
1155	1783	19.89
1157	1787.32	19.89
1159	1779.13	19.91
1161	1781.37	19.89
1163	1781.7	19.95
1165	1778.1	19.84
1167	1776.51	19.8
1169	1783.56	19.86
1171	1785.39	19.86
1173	1785.29	19.95
1175	1779.08	19.84
1177	1785.29	19.82
1179	1783.76	19.87
1181	1781.03	19.88
1183	1782.79	19.89
1185	1782.57	19.85
1187	1778.5	19.88
1189	1781.11	19.91
1191	1778.94	19.83
1193	1783.35	19.9
1196	1781.92	19.9
1198	1780.92	19.91
1200	1781.13	19.83
1202	1784.13	19.94
1204	1784.28	19.84
1206	1780.65	19.89
1208	1783.74	19.89
1210	1780.6	19.84
1212	1781.36	19.88
1214	1780.46	19.92
1216	1779.24	19.94
1218	1782.48	19.86
1220	1785.44	19.92
1222	1781.91	19.8
1224	1779.63	19.83
1226	1780.54	19.83
1228	1783.33	19.89
1230	1784.16	19.78
1232	1777.09	19.78
1234	1781.37	19.8
1237	1780.18	19.84
1239	1781.46	19.9
1241	1780.75	19.83
1243	1779.69	19.8
1245	1781.57	19.86
1247	1780.88	19.86
1249	1782.4	19.87
1251	1781.32	19.86
1253	1783.86	19.86
1255	1781.86	19.86
1257	1781.31	19.88
1259	1780.02	19.83
1261	1783.27	19.85
1263	1782.76	19.82
1265	1780.42	19.8
1267	1781.04	19.92
1269	1783.28	19.9
1271	1778.68	19.81
1273	1779.18	19.85
1275	1783.38	19.83
1277	1782.38	19.82
1279	1780.42	19.87
1281	1781.25	19.88
1283	1780.19	19.91
1285	1781.09	19.85
1288	1781.97	19.82
1290	1781.98	19.93
1292	1783.57	19.84
1294	1781.43	19.86
1296	1782.95	19.81
1298	1783.08	19.83
1300	1781.68	19.86
1302	1779.77	19.84
1304	1780.68	19.86
1306	1781.61	19.83
1308	1779.91	19.91
1310	1783.76	19.85
1312	1779.8	19.84
1314	1779.67	19.84
1316	1780.05	19.87
1318	1781.04	19.87
1320	1775.69	19.92
1322	1780.29	19.89
1324	1784.63	19.79
1326	1779.51	19.85
1328	1783.07	19.83
1330	1780.82	19.85
1332	1782.13	19.88
1334	1781.81	19.83
1336	1783.29	19.82
1339	1777.69	19.82
1341	1777.88	19.92
1343	1784.13	19.85
1345	1781.63	19.87
1347	1786.54	19.75
1349	1778.79	19.97
1351	1782.22	19.78
1353	1777.64	19.81
1355	1785.26	19.89
1357	1779.87	19.82
1359	1782.03	19.95
1361	1781.51	19.76
1363	1782.47	19.82
1365	1781.38	19.88
1367	1777.2	19.88
1369	1783.6	19.9
1371	1784.52	19.95
1373	1782.49	19.88
1375	1784.61	19.85
1377	1778.13	19.77
1379	1780.45	19.81
1381	1784.73	19.84
1383	1781.72	19.8
1385	1786.1	19.8
1387	1783.17	19.81
1390	1777.68	19.89
1392	1784.3	19.82
1394	1778.27	19.8
1396	1784.87	19.8
1398	1777.1	19.79
1400	1780.73	19.77
1402	1778.16	19.77
1404	1782.61	19.85
1406	1778.84	19.71
1408	1778.65	19.82
1410	1782.03	19.83
1412	1781.4	19.78
1414	1783.88	19.83
1416	1780.58	19.89
1418	1780.27	19.86
1420	1779.6	19.8
1422	1781.05	19.84
1424	1781.31	19.82
1426	1778.33	19.85
1428	1782.13	19.78
1430	1780.6	19.8
1432	1777.83	19.76
1434	1783.03	19.8
1436	1783.05	19.8
1439	1780.85	19.77
1441	1778.68	19.83
1443	1789.32	19.76
1445	1784.58	19.87
1447	1783.48	19.75
1449	1781.29	19.68
1451	1786.02	19.84
1453	1779.13	19.75
1455	1781.45	19.68
1457	1780.87	19.75
1459	1780.66	19.72
1461	1782.2	19.8
1463	1784.87	19.79
1465	1781.55	19.73
1467	1776.29	19.85
1469	1780.77	19.71
1471	1785.19	19.82
1473	1783.32	19.69
1475	1778.75	19.84
1477	1781.33	19.85
1479	1783.79	19.78
1481	1782.77	19.8
1483	1779.62	19.82
1485	1778.57	19.82
1488	1781.86	19.9
1490	1782.15	19.8
1492	1781.61	19.83
1494	1779.81	19.87
1496	1779.12	19.77
1498	1782.35	19.79
1500	1783.55	19.84
1502	1781.75	19.77
1504	1783.71	19.82
1506	1781.85	19.86
1508	1780.15	19.87
1510	1781.61	19.89
1512	1782.21	19.83
1514	1780.91	19.8
1516	1785.18	19.78
1518	1780.82	19.86
1520	1783.51	19.85
1522	1783.92	19.76
1524	1786.49	19.84
1526	1778.62	19.85
1528	1783.24	19.83
1530	1780.71	19.88
1532	1777.72	19.79
1534	1781.81	19.86
1536	1780.58	19.81
1538	1779.17	19.9
1541	1780.86	19.81
1543	1781.03	19.74
1545	1790.33	19.8
1547	1780.47	19.8
1549	1786.23	19.85
1551	1780.85	19.84
1553	1783.29	19.78
1555	1782.75	19.87
1557	1784.01	19.81
1559	1779.02	19.81
1561	1779.41	19.84
1563	1783.7	19.85
1565	1783.55	19.83
1567	1781.66	19.85
1569	1782.06	19.89
1571	1784.56	19.89
1573	1782.92	19.82
1575	1781.73	19.88
1577	1779.02	19.73
1579	1782.17	19.84
1581	1781.36	19.84
1583	1787.49	19.88
1585	1780.93	19.99
1587	1782.63	19.86
1589	1780.92	19.89
1592	1779.45	19.77
1594	1784.63	19.83
1596	1778.41	19.77
1598	1780.6	19.77
1600	1781.66	19.78
1602	1779.12	19.87
1604	1784.12	19.84
1606	1784.59	19.74
1608	1784.47	19.86
1610	1783.53	19.93
1612	1783.31	19.89
1614	1778.48	19.8
1616	1778.83	19.81
1618	1779.48	19.88
1620	1778.82	19.8
1622	1782.31	19.81
1624	1782.71	19.84
1626	1781.04	19.93
1628	1781.13	19.88
1630	1786.17	19.74
1632	1780.83	19.86
1634	1779.2	19.92
1636	1783.83	19.87
1638	1780.86	19.8
1640	1783.26	19.82
1642	1779.95	19.91
1644	1780.25	19.88
1647	1783.65	19.83
1649	1779.54	19.85
1651	1783.38	19.81
1653	1781.21	19.77
1655	1779.14	19.78
1657	1782.02	19.82
1659	1786.04	19.86
1661	1783.39	19.78
1663	1779.98	19.82
1665	1783.79	19.8
1667	1780.96	19.8
1669	1779.02	19.82
1671	1780.48	19.84
1673	1782.54	19.78
1675	1782.85	19.77
1677	1777.87	19.82
1679	1778.8	19.8
1681	1784.47	19.81
1683	1781.82	19.83
1685	1780.43	19.74
1687	1780.76	19.82
1689	1780.1	19.76
1691	1779.96	19.84
1693	1780.36	19.84
1695	1784.75	19.85
1697	1782.82	19.85
1700	1782.14	19.83
1702	1781.64	19.85
1704	1782.02	19.82
1706	1780.55	19.74
1708	1775.58	19.74
1710	1781.88	19.82
1712	1784	19.73
1714	1783.22	19.77
1716	1779.07	19.75
1718	1778.14	19.75
1720	1779.82	19.87
1722	1782.46	19.81
1724	1780.38	19.87
1726	1776.23	19.77
1728	1779.73	19.75
1730	1782.41	19.77
1732	1782.35	19.83
1734	1783.21	19.87
1736	1781.25	19.89
1738	1782.07	19.85
1740	1783.73	19.83
1742	1784.53	19.81
1744	1783.44	19.9
1746	1780.76	19.75
1748	1780.33	19.81
1750	1783.93	19.9
1753	1780.96	19.83
1755	1781.08	19.89
1757	1782.77	19.8
1759	1780.48	19.81
1761	1782	19.82
1763	1781.83	19.75
1765	1782.5	19.8
1767	1784.41	19.79
1769	1785.56	19.77
1771	1785.75	19.74
1773	1785.19	19.75
1775	1782.23	19.73
1777	1782.3	19.77
1779	1778.04	19.82
1781	1780.88	19.79
1783	1783.32	19.8
1785	1781.12	19.84
1787	1781.19	19.82
1789	1782.3	19.82
1791	1782.87	19.76
1793	1781.96	19.79
1795	1782.2	19.77
1804	1777.58	19.78
1806	1783.35	19.83
1808	1780.81	19.84
1810	1781.32	19.86
1812	1783.31	19.87
1814	1781.5	19.75
1816	1779.36	19.73
1818	1785.62	19.8
1820	1781.14	19.79
1822	1779.53	19.87
1824	1782.56	19.78
1826	1781.93	19.81
1828	1781.78	19.77
1830	1779.58	19.77
1832	1778.72	19.72
1834	1783.63	19.8
1836	1784.92	19.76
1838	1780	19.82
1840	1779.41	19.78
1842	1781.18	19.78
1844	1784.68	19.8
1846	1785.67	19.78
1848	1781.22	19.79
1850	1780	19.86
1853	1781.61	19.77
1855	1781.6	19.78
1857	1787.93	19.8
1859	1783.91	19.82
1861	1781.22	19.76
1863	1778.22	19.79
1865	1779.71	19.84
1867	1781.08	19.87
1869	1781.83	19.78
1871	1782.02	19.8
1873	1781.74	19.81
1875	1782.7	19.82
1877	1783.81	19.82
1879	1781.88	19.86
1881	1778.99	19.79
1883	1782.38	19.79
1885	1783.25	19.84
1887	1780.47	19.87
1889	1782.63	19.83
1891	1780.01	19.84
1893	1783.02	19.81
1895	1782.27	19.89
1897	1782.45	19.72
1899	1781.77	19.78
1901	1777.16	19.88
1904	1780.91	19.79
1906	1779.63	19.74
1908	1777.87	19.83
1910	1784.2	19.8
1912	1778.95	19.75
1914	1784.42	19.78
1916	1780.85	19.81
1918	1782.16	19.8
1920	1781.94	19.77
1922	1786.26	19.78
1924	1780.6	19.81
1926	1779.88	19.84
1928	1781.33	19.72
1930	1785.53	19.77
1932	1781.84	19.66
1934	1780.8	19.76
1936	1785.37	19.7
1938	1780.46	19.78
1940	1780.89	19.75
1942	1784.89	19.71
1944	1781.62	19.74
1946	1780.42	19.72
1948	1785.45	19.7
1951	1779.49	19.71
1953	1780.33	19.83
1955	1783.39	19.77
1957	1778.64	19.77
1959	1780.29	19.79
1961	1781.95	19.81
1963	1781.84	19.83
1965	1781.14	19.79
1967	1781.95	19.74
1969	1781.19	19.76
1971	1779.93	19.87
1973	1782	19.76
1975	1783.42	19.81
1977	1779.25	19.7
1979	1778.39	19.77
1981	1779.35	19.74
1983	1780.91	19.72
1985	1776.68	19.83
1987	1781.43	19.76
1989	1783.9	19.77
1991	1780.98	19.81
1993	1782.83	19.82
1995	1780.81	19.75
1997	1780.56	19.8
1999	1779.78	19.78
2001	1784.02	19.78
2004	1781.38	19.79
2006	1782.15	19.8
2008	1780.61	19.79
2010	1782.12	19.77
2012	1781.04	19.79
2014	1783.23	19.77
2016	1782.48	19.72
2018	1778.62	19.8
2020	1781.21	19.85
2022	1785.13	19.82
2024	1777.46	19.74
2026	1782.38	19.75
2028	1780.64	19.81
2030	1781.8	19.81
2032	1780.85	19.83
2034	1783.2	19.73
2036	1779.3	19.81
2038	1780.44	19.74
2040	1779.71	19.81
2042	1784.05	19.73
2044	1780.98	19.82
2046	1779.54	19.7
2048	1779.24	19.77
2050	1780.08	19.73
2052	1781.76	19.76
2054	1781.7	19.76
2057	1783.31	19.77
2059	1781.71	19.81
2061	1780.97	19.74
2063	1782	19.78
2065	1782.54	19.78
2067	1780.35	19.74
2069	1782.66	19.74
2071	1782.51	19.77
2073	1779.9	19.7
2075	1780.1	19.77
2077	1777.42	19.62
2079	1780.01	19.7
2081	1783.01	19.78
2083	1780.49	19.81
2085	1782.91	19.74
2087	1782.14	19.72
2089	1781.75	19.8
2091	1785.07	19.75
2093	1780.03	19.78
2095	1779.8	19.75
2097	1779.48	19.73
2099	1784.04	19.78
2101	1782.62	19.74
2103	1781.06	19.73
2106	1781.62	19.8
2108	1782.38	19.91
2110	1779.96	19.69
2112	1783.51	19.77
2114	1780.3	19.75
2116	1783.72	19.77
2118	1783.21	19.82
2120	1783.94	19.75
2122	1783.46	19.72
2124	1788.95	19.74
2126	1786.16	19.85
2128	1786.15	19.82
2130	1787.91	19.89
2132	1783.47	19.86
2134	1790.17	19.9
2136	1787.57	19.94
2138	1788.56	19.89
2140	1786.98	19.85
2142	1786.36	19.94
2144	1790.84	19.91
2146	1789.35	19.86
2148	1792.5	20.15
2150	1789.62	20.16
2152	1790.43	19.96
2155	1788.7	20.07
2157	1792.03	20.01
2159	1785.55	20.18
2161	1790.17	20.28
2163	1788.25	20.16
2165	1788.97	20.23
2167	1788.43	20.23
2169	1795.52	20.27
2171	1787.73	20.22
2173	1795.22	20.3
2175	1792.13	20.36
2177	1792.48	20.33
2179	1793.19	20.41
2181	1790.06	20.22
2183	1788.67	20.5
2185	1788.66	20.52
2187	1790.08	20.46
2189	1790.44	20.55
2191	1792.67	20.53
2193	1791.24	20.55
2195	1792.56	20.58
2197	1792.24	20.61
2199	1791.01	20.85
2201	1790.83	20.89
2203	1790.65	20.81
2206	1792.53	20.84
2208	1793.59	20.91
2210	1792.68	21.04
2212	1789.6	20.9
2214	1792.7	20.9
2216	1791.69	21.04
