Time,Unsmoothed Fres,Temp,Fres
0,1780.79,25.03,
2,1803.24,24.75,
4,1810.65,25.16,
6,1805.87,24.96,
8,1798.9,25.05,
10,1802.88,25.19,
12,1805.35,24.98,
14,1802.04,25.16,
16,1803.3,25.03,
18,1804.8,25.11,
20,1808.97,25.02,
22,1808.73,25.27,
24,1816.82,25.21,
26,1799.87,25.15,
28,1792.43,24.97,1802.9759999999999
30,1809.97,25.16,1804.921333333333
32,1800.25,25.06,1804.7219999999998
34,1806.09,24.92,1804.4179999999997
37,1805.55,24.79,1804.3966666666663
39,1813.13,25.19,1805.3453333333332
41,1803.93,25.2,1805.4153333333331
43,1804.67,24.75,1805.3699999999997
45,1800.04,25.16,1805.2366666666667
47,1805.36,25.23,1805.374
49,1807.71,25.19,1805.568
51,1802.3,25.23,1805.1233333333332
53,1804.86,25.14,1804.8653333333334
55,1805.63,24.95,1804.1193333333335
57,1804.01,24.95,1804.3953333333334
59,1801.57,24.96,1805.0046666666665
61,1804.51,25.13,1804.640666666667
63,1807.3,25.06,1805.110666666667
65,1806.99,25.23,1805.1706666666666
67,1804.68,25.13,1805.1126666666664
69,1804.23,25.27,1804.519333333333
71,1808.04,25.03,1804.7933333333333
73,1809.22,25.06,1805.0966666666664
75,1804.39,24.99,1805.3866666666663
77,1807.68,25.05,1805.5413333333331
79,1805.76,25.28,1805.4113333333332
81,1804.78,25.25,1805.5766666666666
83,1806.46,25.26,1805.6833333333332
86,1803.76,25.26,1805.5586666666663
88,1806.82,25.08,1805.7459999999999
90,1807.81,25.19,1806.1619999999998
92,1805.21,25.09,1806.2086666666664
94,1805.33,25.16,1806.0773333333332
96,1806.69,25.3,1806.0573333333334
98,1805.87,25.08,1806.1366666666665
100,1803.93,25.12,1806.1166666666666
102,1801.15,25.17,1805.657333333333
104,1805.12,24.95,1805.3839999999998
106,1808.39,25.38,1805.6506666666664
108,1807.58,25.18,1805.6439999999998
110,1805.28,25.25,1805.6119999999999
112,1806.71,25.13,1805.7406666666666
114,1808.48,25.05,1805.8753333333332
116,1807.43,25.07,1806.12
118,1803.35,25.08,1805.8886666666665
120,1804.43,25.53,1805.6633333333332
122,1806.95,25.19,1805.7793333333332
124,1806.51,25.3,1805.8579999999997
126,1807.18,25.17,1805.8906666666664
128,1802.91,25.27,1805.6933333333332
130,1804.87,25.23,1805.7559999999999
132,1805.89,24.98,1806.072
134,1806.08,25.59,1806.1359999999997
137,1802.64,25.31,1805.7526666666665
139,1806.65,25.31,1805.6906666666666
141,1802.82,25.17,1805.5266666666666
143,1805.08,25.16,1805.4179999999997
145,1807.26,25.13,1805.3366666666666
147,1804.95,25.1,1805.1713333333328
149,1805.22,25.27,1805.2959999999998
151,1807.0,25.27,1805.467333333333
153,1805.52,24.96,1805.3719999999998
155,1806.07,25.2,1805.3426666666664
157,1807.27,25.36,1805.3486666666665
159,1805.72,25.2,1805.5359999999998
161,1808.19,25.08,1805.7573333333332
163,1806.88,25.42,1805.8233333333333
165,1804.17,25.06,1805.696
167,1806.88,25.37,1805.9786666666666
169,1808.13,25.23,1806.0773333333332
171,1805.41,25.35,1806.2499999999998
173,1809.27,25.24,1806.5293333333332
175,1811.25,25.39,1806.7953333333335
177,1808.69,25.11,1807.0446666666664
179,1809.05,25.13,1807.3
181,1805.84,25.39,1807.2226666666666
183,1809.02,25.24,1807.456
185,1806.47,25.17,1807.4826666666663
188,1807.5,25.46,1807.498
190,1805.16,25.32,1807.4606666666664
192,1805.8,25.15,1807.3013333333333
194,1805.67,25.38,1807.2206666666668
196,1807.8,25.24,1807.462666666667
198,1802.5,25.17,1807.1706666666669
200,1803.93,25.35,1806.8906666666664
202,1804.98,25.5,1806.862
204,1809.24,25.43,1806.8600000000001
206,1807.75,25.2,1806.6266666666668
208,1803.74,25.25,1806.2966666666666
210,1803.92,25.15,1805.9546666666665
212,1807.97,25.44,1806.0966666666668
214,1806.1,25.25,1805.902
216,1807.92,25.14,1805.9986666666668
218,1811.43,25.17,1806.2606666666668
220,1806.09,24.98,1806.3226666666667
222,1808.8,25.14,1806.5226666666665
224,1805.53,25.27,1806.5133333333333
226,1807.22,25.23,1806.4746666666667
228,1804.03,25.18,1806.5766666666666
230,1808.95,25.34,1806.9113333333332
232,1807.77,25.5,1807.0973333333332
234,1807.23,25.2,1806.9633333333331
237,1805.45,25.14,1806.8099999999997
239,1806.08,25.52,1806.9659999999997
241,1805.75,25.24,1807.0879999999997
243,1804.08,25.16,1806.8286666666663
245,1805.2,25.34,1806.7686666666661
247,1803.82,25.4,1806.495333333333
249,1806.01,25.37,1806.134
251,1808.66,25.32,1806.3053333333335
253,1806.95,25.35,1806.182
255,1807.44,25.18,1806.3093333333336
257,1805.48,25.29,1806.1933333333336
259,1807.35,24.98,1806.414666666667
261,1807.44,25.36,1806.3140000000003
263,1803.6,25.37,1806.0360000000003
265,1808.66,25.44,1806.1313333333337
