Time,Unsmoothed Fres,Temp,Fres
0,1785.7,25.0,
2,1803.66,25.0,
4,1805.11,25.13,
6,1804.63,25.13,
8,1803.69,25.09,
10,1806.61,25.04,
12,1813.34,25.03,
14,1809.27,25.13,
16,1798.88,25.07,
19,1807.64,25.05,
21,1800.64,25.07,
23,1804.3,24.97,
25,1808.05,25.02,
27,1800.81,25.11,
29,1804.49,24.99,1803.7880000000002
31,1805.14,25.17,1805.084
33,1806.17,25.15,1805.2513333333332
35,1801.86,25.04,1805.0346666666667
37,1804.33,25.11,1805.0146666666667
39,1798.14,25.12,1804.6446666666666
41,1808.0,25.05,1804.737333333333
43,1803.84,25.0,1804.104
45,1800.9,25.24,1803.5459999999998
47,1809.29,25.05,1804.2399999999998
49,1806.53,25.05,1804.166
51,1799.75,25.14,1804.1066666666668
53,1803.24,25.09,1804.036
55,1804.18,25.16,1803.7779999999998
57,1810.63,25.02,1804.4326666666664
59,1802.49,25.18,1804.2993333333332
61,1801.2,25.09,1804.0366666666662
63,1804.06,25.0,1803.8959999999995
65,1805.63,25.06,1804.1473333333329
67,1803.74,25.12,1804.108
70,1801.98,25.05,1804.364
72,1804.78,25.18,1804.1493333333333
74,1805.68,25.06,1804.272
76,1804.71,25.06,1804.5260000000003
78,1803.72,25.01,1804.154666666667
80,1803.5,24.97,1803.952666666667
82,1801.56,25.13,1804.0733333333335
84,1803.24,25.11,1804.0733333333333
86,1804.7,25.08,1804.108
88,1804.73,25.01,1803.7146666666665
90,1806.2,25.05,1803.9619999999998
92,1804.39,25.11,1804.1746666666666
94,1803.86,24.97,1804.161333333333
96,1802.36,24.99,1803.9433333333332
98,1805.69,25.06,1804.0733333333333
100,1799.85,25.12,1803.9313333333332
102,1800.81,25.04,1803.6666666666667
104,1805.94,25.1,1803.684
106,1807.4,25.06,1803.8633333333332
108,1802.09,25.06,1803.7546666666667
110,1802.49,25.11,1803.6873333333333
112,1803.83,25.07,1803.8386666666665
114,1803.57,25.07,1803.8606666666665
116,1804.98,25.18,1803.8793333333333
118,1803.16,25.13,1803.7746666666665
120,1805.61,25.04,1803.735333333333
123,1805.18,25.03,1803.7879999999998
125,1804.43,25.0,1803.826
127,1803.4,25.01,1803.8953333333332
129,1807.12,25.08,1803.9906666666666
131,1804.43,25.13,1804.296
133,1806.05,25.11,1804.6453333333336
135,1804.81,25.12,1804.5700000000002
137,1803.83,24.95,1804.332
139,1802.07,25.02,1804.3306666666667
141,1804.94,25.01,1804.494
143,1805.96,25.13,1804.636
145,1803.53,25.16,1804.6333333333332
147,1803.04,25.0,1804.5039999999997
149,1801.32,25.02,1804.381333333333
151,1805.49,25.11,1804.373333333333
153,1807.1,25.05,1804.5013333333332
155,1807.25,25.02,1804.689333333333
157,1803.16,25.14,1804.6733333333332
159,1805.15,25.05,1804.542
161,1811.83,25.03,1805.035333333333
163,1803.92,25.02,1804.8933333333332
165,1804.4,25.04,1804.8659999999998
167,1804.65,25.02,1804.9206666666664
169,1806.92,25.07,1805.244
171,1805.0,25.01,1805.2479999999998
173,1805.03,25.1,1805.1860000000001
175,1802.22,25.07,1805.0986666666665
178,1806.87,25.01,1805.354
180,1801.47,24.96,1805.3639999999998
182,1803.21,25.11,1805.2119999999998
184,1804.45,24.98,1805.035333333333
186,1803.04,25.03,1804.7546666666665
188,1798.83,25.02,1804.466
190,1809.22,25.07,1804.7373333333333
192,1803.39,25.05,1804.1746666666663
194,1805.25,25.07,1804.2633333333329
196,1807.12,25.06,1804.4446666666665
198,1800.01,25.05,1804.1353333333332
200,1802.95,25.14,1803.8706666666662
202,1803.52,25.06,1803.772
204,1808.16,25.1,1803.9806666666666
206,1807.21,25.1,1804.3133333333335
208,1807.51,25.08,1804.356
210,1803.24,25.17,1804.474
212,1807.19,25.09,1804.739333333333
214,1799.45,25.12,1804.4059999999997
216,1807.7,24.89,1804.7166666666665
218,1803.25,25.11,1805.0113333333331
220,1802.42,25.04,1804.558
222,1808.51,25.04,1804.8993333333333
