Time	Fres	Temp
0	1780.79	25.03
2	1803.24	24.75
4	1810.65	25.16
6	1805.87	24.96
8	1798.9	25.05
10	1802.88	25.19
12	1805.35	24.98
14	1802.04	25.16
16	1803.3	25.03
18	1804.8	25.11
20	1808.97	25.02
22	1808.73	25.27
24	1816.82	25.21
26	1799.87	25.15
28	1792.43	24.97
30	1809.97	25.16
32	1800.25	25.06
34	1806.09	24.92
37	1805.55	24.79
39	1813.13	25.19
41	1803.93	25.2
43	1804.67	24.75
45	1800.04	25.16
47	1805.36	25.23
49	1807.71	25.19
51	1802.3	25.23
53	1804.86	25.14
55	1805.63	24.95
57	1804.01	24.95
59	1801.57	24.96
61	1804.51	25.13
63	1807.3	25.06
65	1806.99	25.23
67	1804.68	25.13
69	1804.23	25.27
71	1808.04	25.03
73	1809.22	25.06
75	1804.39	24.99
77	1807.68	25.05
79	1805.76	25.28
81	1804.78	25.25
83	1806.46	25.26
86	1803.76	25.26
88	1806.82	25.08
90	1807.81	25.19
92	1805.21	25.09
94	1805.33	25.16
96	1806.69	25.3
98	1805.87	25.08
100	1803.93	25.12
102	1801.15	25.17
104	1805.12	24.95
106	1808.39	25.38
108	1807.58	25.18
110	1805.28	25.25
112	1806.71	25.13
114	1808.48	25.05
116	1807.43	25.07
118	1803.35	25.08
120	1804.43	25.53
122	1806.95	25.19
124	1806.51	25.3
126	1807.18	25.17
128	1802.91	25.27
130	1804.87	25.23
132	1805.89	24.98
134	1806.08	25.59
137	1802.64	25.31
139	1806.65	25.31
141	1802.82	25.17
143	1805.08	25.16
145	1807.26	25.13
147	1804.95	25.1
149	1805.22	25.27
151	1807	25.27
153	1805.52	24.96
155	1806.07	25.2
157	1807.27	25.36
159	1805.72	25.2
161	1808.19	25.08
163	1806.88	25.42
165	1804.17	25.06
167	1806.88	25.37
169	1808.13	25.23
171	1805.41	25.35
173	1809.27	25.24
175	1811.25	25.39
177	1808.69	25.11
179	1809.05	25.13
181	1805.84	25.39
183	1809.02	25.24
185	1806.47	25.17
188	1807.5	25.46
190	1805.16	25.32
192	1805.8	25.15
194	1805.67	25.38
196	1807.8	25.24
198	1802.5	25.17
200	1803.93	25.35
202	1804.98	25.5
204	1809.24	25.43
206	1807.75	25.2
208	1803.74	25.25
210	1803.92	25.15
212	1807.97	25.44
214	1806.1	25.25
216	1807.92	25.14
218	1811.43	25.17
220	1806.09	24.98
222	1808.8	25.14
224	1805.53	25.27
226	1807.22	25.23
228	1804.03	25.18
230	1808.95	25.34
232	1807.77	25.5
234	1807.23	25.2
237	1805.45	25.14
239	1806.08	25.52
241	1805.75	25.24
243	1804.08	25.16
245	1805.2	25.34
247	1803.82	25.4
249	1806.01	25.37
251	1808.66	25.32
253	1806.95	25.35
255	1807.44	25.18
257	1805.48	25.29
259	1807.35	24.98
261	1807.44	25.36
263	1803.6	25.37
265	1808.66	25.44
267	1804.64	25.3
269	1802.81	25.34
271	1807.86	25.1
273	1805.72	25.13
275	1805.57	25.39
277	1801.88	25.24
279	1805.57	25.08
281	1808.98	25.13
283	1804.27	25.33
286	1802.66	25.25
288	1805.44	25.38
290	1805.3	25.48
292	1806.47	25.07
294	1805.52	25.35
296	1805.61	25.07
298	1805.75	25.38
300	1811.09	25.17
302	1808.67	25.3
304	1804.67	25.58
306	1805.04	25.4
308	1805.46	25.18
310	1809.63	25.35
312	1804.31	25.27
314	1804.22	25.29
316	1805.86	25.51
318	1808.59	25.08
320	1808.56	25.39
322	1807.77	25.47
324	1804.46	25.6
326	1810.87	25.14
328	1803.51	25.03
330	1808.53	25.39
332	1807.66	25.34
334	1808.49	25.33
336	1808.62	25.1
339	1812.55	25.5
341	1806.2	25.49
343	1805.88	25.39
345	1809.14	25.32
347	1810.35	25.48
349	1806	25.23
351	1805.22	25.4
353	1804.11	25.43
355	1808.02	25.5
357	1808.41	25.4
359	1806.59	25.43
361	1807.72	25.26
363	1809.23	25.26
365	1805.31	25.57
367	1802.92	25.6
369	1807.09	25.38
371	1808.02	25.37
373	1805.75	25.38
375	1804.88	25.39
377	1801.55	25.31
379	1804.95	25.23
381	1803.95	25.63
383	1804.41	25.07
385	1805.61	25.46
387	1807.73	25.33
390	1806.83	25.24
392	1805.69	25.48
394	1808.03	25.49
396	1804.7	25.33
398	1807.08	25.38
400	1807.72	25.32
402	1806.58	25.37
404	1803.9	25.47
406	1807.98	25.41
408	1805.7	25.04
410	1805.9	25.19
412	1804.02	25.51
414	1803.91	25.39
416	1809.57	25.12
418	1808.15	25.31
420	1803.21	25.47
422	1807.22	25.55
424	1808.45	25.37
426	1809.55	25.15
428	1805.5	25.27
430	1807.81	25.56
432	1806.47	25.44
434	1808.17	25.68
436	1801.86	25.26
439	1805.95	25.49
441	1805.98	25.33
443	1800.24	25.5
445	1804.34	25.57
447	1812.41	25.49
449	1808.45	25.29
451	1806.44	25.34
453	1813.18	25.54
455	1808.2	25.21
457	1809.98	25.54
