Time,Unsmoothed Fres,Temp,Fres,dT/dt
0,1785.7,25.0,,
2,1803.66,25.0,,
4,1805.11,25.13,,
6,1804.63,25.13,,
8,1803.69,25.09,,
10,1806.61,25.04,,
12,1813.34,25.03,,
14,1809.27,25.13,,
16,1798.88,25.07,,
19,1807.64,25.05,,
21,1800.64,25.07,,
23,1804.3,24.97,,
25,1808.05,25.02,,
27,1800.81,25.11,,
29,1804.49,24.99,1803.788,-0.0010734004546934925
31,1805.14,25.17,1805.084,-0.0004585671126453614
33,1806.17,25.15,1805.2513333333327,-0.0003749460509275865
35,1801.86,25.04,1805.034666666667,-8.606690483946254e-05
37,1804.33,25.11,1805.0146666666667,0.001182561307901721
39,1798.14,25.12,1804.6446666666664,0.002077185641929279
41,1808.0,25.05,1804.737333333333,0.0014115874079036516
43,1803.84,25.0,1804.104,-3.4079291150879065e-05
45,1800.9,25.24,1803.546,0.0029308343971217446
47,1809.29,25.05,1804.24,0.002553571428571512
49,1806.53,25.05,1804.166,0.0018571428571424967
51,1799.75,25.14,1804.1066666666668,0.0025714285714287287
53,1803.24,25.09,1804.036,0.0011071428571428202
55,1804.18,25.16,1803.778,0.0010178571428575659
57,1810.63,25.02,1804.4326666666664,0.000214285714285599
59,1802.49,25.18,1804.2993333333327,-0.0001428571428569045
61,1801.2,25.09,1804.0366666666664,0.0006071428571431487
63,1804.06,25.0,1803.8959999999995,8.928571428544124e-05
65,1805.63,25.06,1804.1473333333329,-0.000982142857142939
67,1803.74,25.12,1804.108,-0.00033928571428565004
70,1801.98,25.05,1804.364,-0.00046709991876534875
72,1804.78,25.18,1804.1493333333333,0.00022094740429395108
74,1805.68,25.06,1804.272,-0.0015137307434695314
76,1804.71,25.06,1804.5260000000003,-8.203038978166434e-05
78,1803.72,25.01,1804.154666666667,-0.0015068119891009759
80,1803.5,24.97,1803.952666666667,-0.0033176355959725354
82,1801.56,25.13,1804.0733333333333,-0.0019022442813984451
84,1803.24,25.11,1804.0733333333333,-0.0013837936987486235
86,1804.7,25.08,1804.108,-0.0003101656381943869
88,1804.73,25.01,1803.7146666666663,-0.001814713896457263
90,1806.2,25.05,1803.962,-0.0006512882624972425
92,1804.39,25.11,1804.1746666666663,0.00021768251841924587
94,1803.86,24.97,1804.161333333333,-0.0019004884698398043
96,1802.36,24.99,1803.9433333333327,-0.0029244516653127942
98,1805.69,25.06,1804.0733333333333,-0.0020892857142857683
100,1799.85,25.12,1803.9313333333328,-0.0013750000000000628
102,1800.81,25.04,1803.6666666666667,7.142857142852523e-05
104,1805.94,25.1,1803.684,0.0008035714285712291
106,1807.4,25.06,1803.8633333333328,0.000964285714285895
108,1802.09,25.06,1803.7546666666667,0.00041071428571434396
110,1802.49,25.11,1803.6873333333333,-0.00017857142857122425
112,1803.83,25.07,1803.8386666666663,0.0007678571428570734
114,1803.57,25.07,1803.8606666666665,0.00153571428571423
116,1804.98,25.18,1803.8793333333333,0.003321428571428828
118,1803.16,25.13,1803.7746666666665,0.0033035714285714487
120,1805.61,25.04,1803.735333333333,0.002517857142857276
123,1805.18,25.03,1803.788,0.0023859811999536874
125,1804.43,25.0,1803.826,0.00010962171986807315
127,1803.4,25.01,1803.8953333333327,-0.0017381111855328962
129,1807.12,25.08,1803.9906666666664,-0.0017782426778240063
131,1804.43,25.13,1804.296,-0.0004577656675748878
133,1806.05,25.11,1804.6453333333336,-0.000480675544007793
135,1804.81,25.12,1804.57,0.0002913249892102605
137,1803.83,24.95,1804.332,-0.0014981657315494385
139,1802.07,25.02,1804.3306666666667,-0.0022897044494966335
141,1804.94,25.01,1804.494,-0.002463215258855456
143,1805.96,25.13,1804.636,-0.0016108786610877777
145,1803.53,25.16,1804.6333333333328,-0.0004939718687206866
147,1803.04,25.0,1804.504,0.00014710894013398923
149,1801.32,25.02,1804.381333333333,0.0006562608796565293
151,1805.49,25.11,1804.373333333333,0.001160714285714312
153,1807.1,25.05,1804.5013333333327,0.000642857142857364
