Time,Unsmoothed Fres,Temp,Fres,dT/dt
0,1791.1,25.38,,
2,1799.62,25.38,,
4,1804.35,25.44,,
6,1802.29,25.47,,
8,1803.28,25.36,,
10,1803.06,25.45,,
12,1800.49,25.4,,
14,1799.5,25.46,,
16,1799.34,25.38,,
18,1802.05,25.46,,
20,1805.27,25.42,,
22,1803.63,25.42,,
24,1800.47,25.46,,
26,1803.43,25.46,,
28,1804.51,25.43,1801.4926666666663,0.0016250000000003358
30,1803.72,25.46,1802.334,0.001428571428570657
32,1801.53,25.4,1802.4613333333332,0.0003392857142856781
34,1796.45,25.42,1801.9346666666668,0.00032142857142853287
37,1800.52,25.39,1801.8166666666668,0.00035279099454564567
39,1801.46,25.51,1801.6953333333336,0.0005373168238106226
41,1809.18,25.46,1802.1033333333332,0.0010498995311452903
43,1803.88,25.42,1802.3293333333331,0.00037436687954253765
45,1801.52,25.5,1802.464,0.0014414168937328573
47,1801.77,25.44,1802.626,0.0006495615459566564
49,1801.27,25.45,1802.574,0.0009478851963744858
51,1803.65,25.45,1802.466,0.00073047043590836
53,1801.35,25.47,1802.314,0.0006966547580384388
55,1799.45,25.47,1802.246,0.0011226158038148215
57,1801.16,25.47,1802.0946666666664,0.0015420612199960003
59,1803.8,25.51,1802.0473333333327,0.002012726054922845
61,1804.74,25.53,1802.1153333333327,0.0030319209360445925
63,1802.89,25.4,1802.206,0.0014964604850874956
65,1802.35,25.5,1802.599333333333,0.0014464285714286468
67,1806.4,25.36,1802.9913333333332,-0.0009285714285715742
69,1805.6,25.44,1803.2673333333332,-0.0005357142857143306
71,1801.1,25.38,1802.7286666666664,-0.0014821428571427124
73,1807.98,25.37,1803.002,-0.0029821428571427575
75,1799.67,25.45,1802.8786666666665,-0.0022499999999997782
77,1803.4,25.39,1802.9873333333333,-0.003035714285714181
79,1799.39,25.45,1802.862,-0.0028392857142856194
81,1800.86,25.38,1802.676,-0.003517857142857258
83,1802.2,25.43,1802.7326666666668,-0.003160714285714035
86,1800.89,25.34,1802.8286666666668,-0.0038354415689916778
88,1804.23,25.32,1803.0333333333333,-0.004509826195615551
90,1801.95,25.31,1802.91,-0.004487608841259394
92,1802.5,25.42,1802.7606666666668,-0.0025220215811493935
94,1801.9,25.5,1802.6946666666668,-0.001196185286103625
96,1801.98,25.38,1802.67,-0.00016076648262422974
98,1801.4,25.43,1802.3366666666664,-0.00020662494605075806
100,1802.44,25.33,1802.126,-0.0004742123435474274
102,1800.16,25.42,1802.0633333333333,-0.00031016563819446683
104,1801.61,25.44,1801.6386666666667,-0.0001171662125342907
106,1800.95,25.43,1801.724,0.0009430742127283356
108,1798.6,25.45,1801.4039999999998,0.0014618218352314583
110,1801.63,25.35,1801.5533333333333,0.0015511757355446537
112,1800.91,25.37,1801.5566666666668,0.0010485087617501403
114,1801.35,25.39,1801.5,0.0015535714285712788
116,1802.66,25.4,1801.618,0.0009107142857143464
118,1801.81,25.55,1801.456666666667,0.0017500000000003964
120,1801.05,25.45,1801.396666666667,0.0007857142857141226
122,1803.19,25.53,1801.4426666666664,0.0021428571428570766
124,1801.48,25.46,1801.4146666666666,0.003571428571428502
126,1802.29,25.47,1801.4353333333331,0.0034821428571428985
128,1802.81,25.39,1801.5293333333327,0.0029464285714283704
130,1802.68,25.39,1801.545333333333,0.0010535714285713786
132,1805.21,25.27,1801.882,-0.0011607142857141368
134,1804.05,25.37,1802.044666666667,-0.0015714285714281497
137,1800.95,25.46,1802.044666666667,-0.000818150168272169
139,1803.42,25.37,1802.366,-0.0010218107463362252
141,1799.78,25.42,1802.2426666666663,-0.0018151373074347806
143,1805.39,25.36,1802.541333333333,-0.003174961462233103
145,1802.58,25.38,1802.6233333333328,-0.0039891008174387085
147,1802.6,25.33,1802.619333333333,-0.00524520948359843
149,1801.28,25.38,1802.5840000000003,-0.0037985541648683026
151,1801.55,25.37,1802.6173333333331,-0.0035309667673716913
153,1803.29,25.33,1802.624,-0.0025251705099059154
155,1803.11,25.4,1802.7326666666663,-0.001302452316076488
157,1804.82,25.4,1802.9013333333328,0.00018057696542599696
159,1801.05,25.4,1802.784,0.0006999330207633685
161,1803.48,25.42,1802.837333333333,0.001460865613995186
163,1805.07,25.42,1802.8279999999995,0.00043286526633403826
165,1804.71,25.42,1802.872,0.0005892857142857102
167,1802.44,25.38,1802.9713333333327,0.00144642857142871
169,1802.65,25.41,1802.92,0.0015357142857141098
171,1802.46,25.42,1803.0986666666663,0.002392857142857098
173,1802.61,25.43,1802.9133333333327,0.0025178571428570587
175,1801.4,25.31,1802.8346666666664,0.0013035714285713265
177,1802.22,25.32,1802.8093333333327,-0.0003749999999996476
180,1803.82,25.36,1802.9786666666664,-0.0008233724033884351
